,Feature,ExcessCorr
6197,AY/GE_l,-5.7046327829385866e-05
6198,DE/AH_l,-5.735319192488181e-05
6199,BD_2/FC,-5.774801141449418e-05
6200,GL/EP_l,-5.7906226443542666e-05
6201,BR/GE_2,-5.8429483585342376e-05
6202,EB_l*EP_l,-5.992616929230508e-05
6203,FR_l*BR,-5.997237363919092e-05
6204,AZ_l/FS,-6.010826570032284e-05
6205,EB/EJ_2,-6.230281575638624e-05
6206,GH_2/CS,-6.28493482654909e-05
6207,AZ_2/DV,-6.287497864995709e-05
6208,DN_2/FS,-6.302219225326955e-05
6209,AZ*CL_2,-6.490492137155266e-05
6210,CC_2/DN,-6.613664630369508e-05
6211,DE/CF_l,-6.659209205478467e-05
6212,GB/EJ_2,-6.69726835076205e-05
6213,GH/CL,-6.698318667498412e-05
6214,EU/CH_2,-6.743614147149352e-05
6215,DN*DV_2,-6.753344311828254e-05
6216,DY/AH_l,-6.816174447690131e-05
6217,CB_2/FS,-6.836850743528362e-05
6218,CB*AZ_2,-6.837691171276104e-05
6219,GH_l/FI,-6.959526913799877e-05
6220,CC/AZ,-6.99061275377692e-05
6221,AX_2/BD,-7.074505870150252e-05
6222,CH_2/BC,-7.090607960906145e-05
6223,CS_l*EP_l,-7.095939736635835e-05
6224,DN_l*FS,-7.104035686293002e-05
6225,DN*FS,-7.118999624943253e-05
6226,FS*DN,-7.118999624943253e-05
6227,EL*CD_2,-7.120584422028176e-05
6228,FR/CU_l,-7.147860262366607e-05
6229,AM/FI_l,-7.168330995337147e-05
6230,DN/FS_2,-7.186284825908973e-05
6231,BR_l*EB,-7.23987110615382e-05
6232,GB_2/AH,-7.259721979944664e-05
6233,AY*CU_2,-7.463361651726969e-05
6234,CC*BR,-7.479019672056164e-05
6235,BR*CC,-7.479019672056164e-05
6236,FC/CS,-7.49481541577131e-05
6237,DF/AR_2,-7.693391086688404e-05
6238,GL/DV_2,-7.700990329386793e-05
6239,EJ/GH_l,-7.760464654187581e-05
6240,EG_l*AX,-7.775129889748926e-05
6241,FR/AR_l,-7.786640084004107e-05
6242,CH_l*EU,-7.805167390625392e-05
6243,FR/DN_l,-8.15476774249542e-05
6244,EP*EH,-8.185441978428298e-05
6245,EH*EP,-8.185441978428298e-05
6246,FE/AZ_l,-8.216413145720886e-05
6247,DN_l*EG_l,-8.250893317402874e-05
6248,AZ_2/EJ,-8.255417457097777e-05
6249,GH_l*DY,-8.260219018346206e-05
6250,EU/FC_l,-8.265698509996879e-05
6251,DN_l/AZ,-8.275853864273532e-05
6252,FC/DV_l,-8.439685925913079e-05
6253,AH_l/AY,-8.443381097171087e-05
6254,EU*CH,-8.46438897548975e-05
6255,CH*EU,-8.46438897548975e-05
6256,EG_l*AH,-8.536586339415999e-05
6257,DV_l*CB,-8.687696673777189e-05
6258,CH*EG_2,-8.759303202769003e-05
6259,AZ_l*CB_l,-8.787752729491158e-05
6260,AZ/EG,-8.820702013917785e-05
6261,EU/CH_l,-8.830556393698533e-05
6262,BZ/EG_l,-8.915299306785397e-05
6263,EU/CH,-8.946803851008953e-05
6264,AR_2/EJ,-9.022397530128977e-05
6265,EP_l*GL,-9.080360471001164e-05
6266,AY_2/EB,-9.091161855609604e-05
6267,AY/FC_2,-9.121532294133206e-05
6268,EG_l*GI,-9.14137159534912e-05
6269,BQ_2/DL,-9.149235704214442e-05
6270,FR/CU,-9.19330186016764e-05
6271,EG*BR_2,-9.356545531025162e-05
6272,AR_l*BQ,-9.401679405086905e-05
6273,EG_2/FS,-9.409042521153494e-05
6274,CL_2/CB,-9.59103612706026e-05
6275,FI/EE,-9.626266067698508e-05
6276,FC/CW_2,-9.806883078227911e-05
6277,EP/AZ_l,-9.864433074607999e-05
6278,CH/CS,-9.866221243059851e-05
6279,CU/CH,-9.890243166257168e-05
6280,FC/AZ_2,-9.992098054431619e-05
6281,CB_l*EG,-0.000100976890496214
6282,DV_l/FS,-0.00010322122609511913
6283,FC*CF_2,-0.00010520222689268041
6284,FS_2/CB,-0.00010522153525420365
6285,BD_l*GF,-0.00010647537468277957
6286,GL/DN_l,-0.00010698935306268156
6287,DV*DN,-0.00010703370318521297
6288,DN*DV,-0.00010703370318521297
6289,DN_l*CU,-0.00010838233465629114
6290,GL/BD_l,-0.00010897699018542345
6291,BZ/AX_l,-0.0001095453260835065
6292,AZ_2*CB_2,-0.00011015417652724423
6293,BR/EP_l,-0.00011025688127205835
6294,BD/BC_l,-0.00011102734784755597
6295,EL*BR_2,-0.000112030885544105
6296,GB*DN_2,-0.00011277949574923802
6297,AZ_l*EU,-0.00011284851990630792
6298,FC/EG_l,-0.00011319268485948642
6299,CB*EU,-0.00011509190580446366
6300,EU*CB,-0.00011509190580446366
6301,CL_l/DV,-0.00011568891597087624
6302,CL_l*CB,-0.00011652878235855716
6303,AZ_2/CH,-0.00011664355791363058
6304,FS/AZ_l,-0.00011746397604589901
6305,DV_2/DN,-0.00011761560064307428
6306,AZ_l*BR,-0.00011799638802503093
6307,CH/AY_2,-0.00011883531673529974
6308,CS/FR_l,-0.00011942961910466586
6309,DN_l*AZ,-0.00012009363527218718
6310,AZ_l*DV,-0.0001204732796379806
6311,CB_l*AZ,-0.00012082942197602066
6312,AM/GB_l,-0.00012113471665514686
6313,CH/EG,-0.00012128858074509681
6314,CW*BR_2,-0.00012363870850450043
6315,DN_l*DV,-0.00012380405158032712
6316,EL_l*GH_l,-0.00012666868200060955
6317,FD/EP_l,-0.00012778662143060615
6318,DF/EP_l,-0.00012779234400898693
6319,FS_l*CB,-0.0001284389410929402
6320,FC/DV,-0.00012867051823883704
6321,FS*AZ_2,-0.0001289468964094912
6322,CH/CW_2,-0.0001301277041384284
6323,EJ/AX,-0.00013143048361917951
6324,EJ_2/AX,-0.00013143048361917951
6325,EJ_l/AX,-0.00013143048361919166
6326,CL*DV,-0.00013320280366519192
6327,DV*CL,-0.00013320280366519192
6328,CH_l/EG,-0.00013380355128611506
6329,DY/AZ_l,-0.00013466300750708104
6330,CH/AZ_2,-0.00013469604697031816
6331,DV_2*GH_2,-0.00013600871070647454
6332,DV_l/CH,-0.0001387875699070584
6333,CL_l*FC,-0.00013879366238611732
6334,DH/AB,-0.00013906931871078554
6335,EL/EJ,-0.00013942746143252513
6336,DH_l/BP,-0.00013970337592474763
6337,FS_l/FC,-0.00014168490484009802
6338,FR/CS,-0.00014233659277451335
6339,CH_l/CS,-0.00014335226377094673
6340,AZ/CL_l,-0.0001452251046284158
6341,AY*CU,-0.00014541792775657914
6342,CU*AY,-0.00014541792775657914
6343,CB*AZ,-0.00014580190292848186
6344,AZ*CB,-0.00014580190292848186
6345,AZ_l/EG,-0.00014676433219534298
6346,CF*CD,-0.00014716450760440467
6347,CD*CF,-0.00014716450760440467
6348,CC/CS,-0.00014763595021712386
6349,CH_l*GH_l,-0.0001479105609898312
6350,EP*GF,-0.00014797451164856937
6351,GF*EP,-0.00014797451164856937
6352,CW/AZ_l,-0.00014894226836950587
6353,CH/DV_2,-0.00014941252633483864
6354,FL/DE_2,-0.0001506853493737914
6355,DN_2*DV_2,-0.0001508127311286207
6356,BR_2/FS,-0.00015081794143455805
6357,AY/CU_l,-0.00015161512126316175
6358,EU/CB_l,-0.00015217543393075943
6359,GB_l/GE,-0.00015281643820769502
6360,EG_l*GB,-0.0001533493814061251
6361,BR_2*EB_2,-0.0001539017787612609
6362,DN_2/DV,-0.00015454063249703055
6363,DN/AZ,-0.00015627954151689014
6364,AR/EJ_2,-0.00015638380033637655
6365,GI_2/DE,-0.00015788441522723157
6366,EG_l*AM,-0.00015829534165634485
6367,DN/AZ_l,-0.00015843908198859703
6368,CW_l*GF,-0.00015850794156515788
6369,CW_2/AH,-0.0001586676636565411
6370,DN_l*EG,-0.0001592257124403672
6371,DE/EJ_2,-0.000159859222722979
6372,EE*FR,-0.0001602920671964561
6373,FR*EE,-0.0001602920671964561
6374,CB/DN,-0.00016035416987004856
6375,GI/EJ,-0.00016055298330856088
6376,AZ_l*CL,-0.00016122253737598522
6377,CB_l*CH_l,-0.00016282548636732555
6378,CB_l*EG_l,-0.0001633145099823366
6379,AY_2*BR_2,-0.0001640251884007047
6380,CC_l*BR,-0.00016416257977134793
6381,BR/DV_l,-0.00016497296790757288
6382,AZ*FS,-0.00016569779682216003
6383,FS*AZ,-0.00016569779682216003
6384,CL_l*EU,-0.00016675429460219666
6385,EP*BR,-0.0001671164039953564
6386,BR*EP,-0.0001671164039953564
6387,CB_l*CH,-0.00016749797926777327
6388,FR/AR,-0.00016763301711494524
6389,GL_l*DN,-0.0001692275243616835
6390,CH/AZ_l,-0.00016969203728068807
6391,CU_l*AY,-0.00017062127839647008
6392,EG_l*CW,-0.0001712129984193199
6393,GH_l*FD,-0.00017163507235598563
6394,EU_l*BC,-0.00017494550724782634
6395,EG_l*FD,-0.0001750219778978851
6396,CL/CC,-0.00017538016448422457
6397,FC_2/CB,-0.00017553732545705022
6398,BD/CU_l,-0.0001759688092477854
6399,DV*AZ,-0.00017729687625144311
6400,AZ*DV,-0.00017729687625144311
6401,DF/AH_l,-0.0001774357024310119
6402,BR_2*DF_2,-0.00017907837193501062
6403,AZ*CH_2,-0.0001800422639345307
6404,AH*BR_2,-0.0001804481429016607
6405,AZ_l*FS,-0.00018079174174357788
6406,DV_l*EU,-0.00018097382723523698
6407,AZ/DV,-0.00018114042743677943
6408,CB_l/AZ,-0.0001813264712277943
6409,AB*BN,-0.00018166606546746178
6410,BN*AB,-0.00018166606546746178
6411,AZ_l*DN,-0.0001817906828633144
6412,DY/EJ_2,-0.00018185811822272503
6413,CH/EG_2,-0.00018224269179697967
6414,CH_l/AZ,-0.0001822704920216345
6415,DV_2*DY_2,-0.00018235647432381877
6416,AZ_2*CH_2,-0.00018239512111648342
6417,CH/AZ,-0.00018263768331200432
6418,CW_l*DN_l,-0.00018293521869049536
6419,FS*GH_2,-0.00018364306681738565
6420,EJ_l*AX,-0.00018364655298072456
6421,AX*EJ,-0.00018364655298073844
6422,AX*EJ_2,-0.00018364655298073844
6423,EJ*AX,-0.00018364655298073844
6424,CH/DV_l,-0.0001842644935496136
6425,DN*CC_2,-0.0001867950407106649
6426,BR_2*GB_2,-0.0001872421660279967
6427,CW*FR,-0.0001876929024557765
6428,FR*CW,-0.0001876929024557765
6429,EU*AZ_2,-0.00018809131265712115
6430,EU*AZ,-0.00018918251879749236
6431,AZ*EU,-0.00018918251879749236
6432,CS_l*GE,-0.00018946472004550616
6433,DN*EG_2,-0.00018974161355372345
6434,GE*FC_2,-0.0001900934451706457
6435,CB/FS_2,-0.00019104406067206806
6436,FC/DV_2,-0.00019236082940860607
6437,CB_l*FS,-0.00019248448349383406
6438,AY_2/BR,-0.00019264334559170558
6439,CL/DV_2,-0.00019274939186649404
6440,DA/EU_l,-0.00019287744404244273
6441,GH_2/DF,-0.00019364304903642018
6442,AR/FC,-0.00019448186690349152
6443,FD/AY_l,-0.00019489526922242956
6444,CB_l/FS,-0.00019524446283055547
6445,EG/DN,-0.00019624580547760302
6446,CB_l*DV_l,-0.0001974676946147598
6447,FD/AY,-0.00019757857566762502
6448,DN/FC_l,-0.000197902256497299
6449,DE_l*EE,-0.00019800990999119944
6450,GL/DV_l,-0.00019803014890577494
6451,EU/GH,-0.00019830761868559776
6452,CS_2/FC,-0.00019976583176287057
6453,FR/BR_l,-0.00020014607066327558
6454,DF*BR_2,-0.0002008289146263071
6455,EG*BZ,-0.00020085361016169284
6456,BZ*EG,-0.00020085361016169284
6457,FR/CS_2,-0.00020116032926277387
6458,BP_2*GB_2,-0.00020142728821501837
6459,EG/CB_l,-0.00020151277810786627
6460,EL/EJ_l,-0.00020156090104810585
6461,GF/DV_2,-0.00020164307061800932
6462,AZ_l*CB,-0.0002020735778793827
6463,CB_2*DN_2,-0.0002023338525190915
6464,AZ_2/CL,-0.00020326891811117535
6465,CH*CB_2,-0.00020329945151436552
6466,BZ/DV,-0.00020386147139783012
6467,BD_l*GL,-0.00020452366463942322
6468,DA/CL_2,-0.00020495385442002856
6469,DL_l*EH,-0.0002073159511730288
6470,AZ_l*FR,-0.0002073507766634005
6471,GH_l*CH,-0.00020782263878961547
6472,BD_2/FS,-0.00020868143541910925
6473,EG_2*FS_2,-0.00020874634889516254
6474,DN*CB,-0.00020885121330463637
6475,CB*DN,-0.00020885121330463637
6476,CS/GH_l,-0.00020946372004070025
6477,DV_2/AZ,-0.0002096859769986096
6478,DL/EG_l,-0.00021002830319572646
6479,GH_2/DY,-0.0002104331377737103
6480,EG/GH_l,-0.00021048835135105783
6481,DV*AZ_2,-0.0002108744317628427
6482,CB/FS_l,-0.00021094634115888014
6483,DV_l*FS,-0.0002112884288086803
6484,BR*EB_2,-0.00021191490838770588
6485,CL_2/AZ,-0.00021220297436744332
6486,FS*EG_2,-0.00021231003515241072
6487,FC/CW,-0.00021259113476972645
6488,CB/FS,-0.0002126291069009146
6489,GH_l*EJ,-0.00021277788184324853
6490,EJ_l*GH_l,-0.00021277788184325026
6491,DV/CL,-0.0002130555881737715
6492,BZ/DF,-0.00021412473207633315
6493,FR/AH_l,-0.00021441823287937645
6494,EL_2/DY,-0.00021479712077619902
6495,FS*FC,-0.00021500429386314452
6496,FC*FS,-0.00021500429386314452
6497,FS_l/DY,-0.00021598505637967103
6498,AX_l/EJ,-0.00021643637329408529
6499,DE/GH_l,-0.0002164610548821052
6500,EU/FC,-0.00021660189674038862
6501,AR_l*BR,-0.00021820036297720124
